Trajectory_ID,Samples,Duration_s,Mean_Remaining_Time_s,MAE_s,RMSE_s,R2
2,2815,2790.06999999995,1394.70467140315,228.048785869356,319.639660518288,0.842710890914509
8,3532,3502.06999999995,1751.42944224231,377.822216164527,484.804130211243,0.770086807727321
12,3034,3007.49000000005,1502.49492419248,390.240797472141,430.743206744758,0.754481687596403
34,3178,3150.84000000008,1575.82469792327,462.825951839786,563.695870219128,0.616259945298661
35,2790,2767.34999999998,1383.68525089601,315.532067023527,394.136920485116,0.75689515843413
44,2035,2017.57000000007,1008.58222604429,336.092664770428,382.062421964316,0.569583862765819
51,2222,2200.89000000013,1100.24859135923,498.07378760637,600.584725075942,0.107961397349432
53,2665,2640.42999999993,1320.49531707308,120.055909174192,157.303487590621,0.957413315818327
54,4245,4204.76000000001,2101.55319670199,977.983627253742,1126.02657166466,0.140452478649267
56,2660,2636.42999999993,1318.16885338352,256.561060648416,351.42208632455,0.786773754349179
70,2403,2381.12999999989,1191.02993757804,230.965192513752,264.551871109861,0.85184527500038
81,2804,2776.3600000001,1387.886847361,292.919190307199,361.81552502407,0.796469690286179
89,2230,2209.93000000017,1104.1195874441,254.874318798612,312.963626530061,0.759465320473576
105,1775,1759.80000000005,879.596388732324,390.530737326093,440.292816753708,0.248886920536356
113,2925,2899.50000000023,1449.53919316254,297.802957942496,368.994541226768,0.805634297452576
116,2124,2102.97999999998,1050.52884651597,258.558650736362,280.550198471827,0.787007737600799
119,2455,2431.02000000002,1214.67021181256,172.535791063144,209.573998718951,0.911015268894206
122,2479,2456.44999999995,1228.30010488106,255.836252271903,304.138188220164,0.816368454954164
135,2485,2461.63000000035,1229.88232595602,229.288999880966,277.403179964688,0.847895090746879
140,1824,1806.41000000061,901.805509868618,316.103549899898,354.994351636716,0.537731271512398
141,2730,2703.72999999998,1350.78641025636,208.375154240443,270.680116028641,0.879923173005656
151,3203,3305.33000000007,1635.46222291614,718.499951774179,831.245781014565,0.267288027917742
155,2212,2190.21999999974,1094.53679475577,447.303474299655,523.777947060583,0.314579483574031
180,3194,3166.09999999963,1583.16683155884,459.915298557858,598.357059042502,0.571450333138369
184,2134,2113.18000000017,1055.46250234311,473.915869055212,676.90603722421,-0.228740396426337
185,2147,2125.21000000043,1061.73762925036,183.149630041579,231.430751189251,0.858074918961393
193,2427,2408.10000000009,1201.97746600742,253.370629167957,288.069598400727,0.828668728044532
194,2428,2403.14999999991,1200.29359967075,169.458809705879,226.338932977295,0.893860905563477
